2026-03-20 08:35:31 [INFO]  [explore.cpp:426] Initialized angle updated
2026-03-20 08:35:31 [INFO]  [explore.cpp:447] Workaround for range measurements
2026-03-20 08:35:31 [INFO]  [explore.cpp:470] Own pose when relative measurements obtained (x, y, heading): 0.00, 0.03, 359.88
2026-03-20 08:35:31 [INFO]  [explore.cpp:474] Range (meter): 3.00, Raw AOA (degrees): -90.00, Adjusted AOA top peak (degrees): -90.12
2026-03-20 08:35:31 [INFO]  [explore.cpp:490] Own position (world): 0.00, 0.03 (ID: 2)
2026-03-20 08:35:31 [INFO]  [explore.cpp:494] Own position (map): 39, 99
2026-03-20 08:35:31 [INFO]  [explore.cpp:536] Found Robot (robot id : 3) track
2026-03-20 08:35:31 [INFO]  [state_filter.cpp:221] Obtained bearing measurements size 1
2026-03-20 08:35:31 [INFO]  [state_filter.cpp:228] Angle_measured (deg): -90.165828, d2: 0.494175
2026-03-20 08:35:31 [INFO]  [state_filter.cpp:253] Angle_pred (deg): -74.829461, Angle_measured (deg): -90.165827, residuals: -0.267534, probs: 0.999683
2026-03-20 08:35:31 [INFO]  [explore.cpp:543] Predicted estimate (world x_j, y_j) = 0.382278, -2.892882
2026-03-20 08:35:31 [INFO]  [explore.cpp:564] **** getSizeInCellsX, getSizeInCellsY: 224, 160 **** 
2026-03-20 08:35:31 [INFO]  [explore.cpp:565] Estimate in map: (42, 80)
2026-03-20 08:35:31 [INFO]  [explore.cpp:589] Inserted in Quadmap
2026-03-20 08:35:31 [INFO]  [explore.cpp:609] -----finished-----
2026-03-20 08:35:31 [INFO]  [explore.cpp:642] === Exited SensingCallbackFilter ===
2026-03-20 08:35:37 [INFO]  [explore.cpp:1163]  ========= Deque size : 601 ======== 
2026-03-20 08:35:37 [INFO]  [explore.cpp:1166] Got sufficient history
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:407] Total Frontiers before splitting = 4
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:446] Total Frontiers after splitting = 6
2026-03-20 08:35:37 [INFO]  [explore.cpp:1202] ******* REACHED 3/4th to goal ---  REVAULATING ALL FRONTIERS ******************
2026-03-20 08:35:37 [INFO]  [explore.cpp:1212] Last progress time: 1774010137.214790
2026-03-20 08:35:37 [INFO]  [explore.cpp:1217] frontier 0 centroid distance before: 4.094607 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1226] Path received with 60 poses
2026-03-20 08:35:37 [INFO]  [explore.cpp:1234] frontier 0 centroid distance after: 4.350857 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 08:35:37 [INFO]  [explore.cpp:1217] frontier 1 centroid distance before: 3.934517 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1226] Path received with 54 poses
2026-03-20 08:35:37 [INFO]  [explore.cpp:1234] frontier 1 centroid distance after: 3.984242 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 08:35:37 [INFO]  [explore.cpp:1217] frontier 2 centroid distance before: 4.522444 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1226] Path received with 62 poses
2026-03-20 08:35:37 [INFO]  [explore.cpp:1234] frontier 2 centroid distance after: 4.522547 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 08:35:37 [INFO]  [explore.cpp:1217] frontier 3 centroid distance before: 4.167733 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1226] Path received with 59 poses
2026-03-20 08:35:37 [INFO]  [explore.cpp:1234] frontier 3 centroid distance after: 4.328093 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 08:35:37 [INFO]  [explore.cpp:1217] frontier 4 centroid distance before: 4.350000 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1226] Path received with 62 poses
2026-03-20 08:35:37 [INFO]  [explore.cpp:1234] frontier 4 centroid distance after: 4.537404 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 08:35:37 [INFO]  [explore.cpp:1217] frontier 5 centroid distance before: 4.688550 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1226] Path received with 63 poses
2026-03-20 08:35:37 [INFO]  [explore.cpp:1234] frontier 5 centroid distance after: 4.645672 meters
2026-03-20 08:35:37 [INFO]  [explore.cpp:1235] *****************************************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:522] ##############################################################
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:545] ***************************************************
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:554] BetaParam : 0.206130
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:560] Frontier viewpoint world pos: 0.058750, -4.118750
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:561] Frontier viewpoint map pos: 40, 72
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:562] Frontier centroid index= 16168
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:563] Size of frontier: 3.000000 meters 
2026-03-20 08:35:37 [INFO]  [frontier_search.cpp:583] Neighboring robot positions around the frontier = 2
